Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,female?,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
Henk-Jan Journée,henk-jan-journee,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf7114bb0495,Wed Jul 03 2019 15:14:58 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:23 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:23 GMT+0000 (Coordinated Universal Time),,,Fibeo,https://fibeo.com/,Founder,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7eb5df48eff55c3f0ed_5f68ce74cba50fe5f2336ef6_HJJournee.jpeg,,https://twitter.com/henkjanjournee,https://nl.linkedin.com/in/henkjanjournee,
Rick Molenaar,rick-molenaar,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf8834bb0496,Wed Jul 03 2019 15:19:30 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:17 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:17 GMT+0000 (Coordinated Universal Time),,,Instant,,Founder,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7e5357192aa27683fdc_rickjpg.jpeg,,,https://nl.linkedin.com/in/rickmolenaar,
Simon Vreeman,simon-vreeman,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf5093bb049a,Fri Jul 12 2019 06:44:50 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:07 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:07 GMT+0000 (Coordinated Universal Time),,,VanMoof,https://www.vanmoof.com/en_nl/,Growth Marketing Manager,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7db0398553694693c40_5d282c3314c23da499ca98ef_simon-vreeman.jpeg,https://vreeman.com/,https://twitter.com/vreeman,https://www.linkedin.com/in/simonvreeman/,
Pieter Jan Troost,pieter-jan-troost,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf68b0bb049c,Fri Jul 12 2019 11:45:29 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:01 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:01 GMT+0000 (Coordinated Universal Time),,,Freelance,,Persuasive Strategist and Designer,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7d506f63662182d57e4_PieterJan_Troost.png,http://www.pjtroost.nl/,,https://nl.linkedin.com/in/pjtroost,false
Jurjen Jongejan,jurjen-jongejan,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf4cf4bb049b,Fri Jul 12 2019 11:47:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:54 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:54 GMT+0000 (Coordinated Universal Time),,,ISM eCompany,https://www.ism.nl/,CRO Strategist,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7ceb6576a3e8c5b5ce1_5d28731e14c23d1a81cc146a_K_vnDmoU_400x400.jpeg,,https://twitter.com/jurjenjongejan,https://nl.linkedin.com/in/jurjenjongejan,true
Monique Zwanenburg,monique-zwanenburg,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf5cedbb04a4,Mon Aug 12 2019 15:38:34 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:49 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:49 GMT+0000 (Coordinated Universal Time),true,,ISM eCompany,https://ism.nl,E-mailmarketing consultant,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7c91a9e05a7d4327b7d_email-monique.jpeg,,,https://nl.linkedin.com/in/monique-zwanenburg,
Martijn Scheijbeler,martijn-scheijbeler,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfb146bb04a5,Mon Aug 12 2019 15:40:17 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:44 GMT+0000 (Coordinated Universal Time),,,RVShare,https://rvshare.com/,VP Marketing,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7c306f636694e2d45ea_5d51884b3691c9ef09e83ba9_martijn.jpeg,https://martijnscheijbeler.com/,https://twitter.com/MartijnSch,https://www.linkedin.com/in/martijnscheijbeler,false
Viresh Narain,viresh-narain,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfe5a3bb04a6,Mon Aug 12 2019 15:44:06 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:38 GMT+0000 (Coordinated Universal Time),,,Adidas,https://www.adidas.com/,International Customer Journey Manager (Interim),https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7bd29b39a5d004c6e64_5f69fcbddf70e653e03b857d_5d5188dec90ca75480d4aa88__4e50e17a36366c949e2a1afc74604cc6.jpeg,,https://twitter.com/vireshnarain,"https://www.linkedin.com/in/vireshnarain/,",false
Evert Semeijn,evert-semeijn,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf19f8bb04a7,Mon Aug 12 2019 15:45:48 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:32 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:32 GMT+0000 (Coordinated Universal Time),,,Neurofied,https://neurofied.com/,Co-founder and neuropsychologist,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7b85b7fccc36d361739_evert.jpeg,https://www.evertsemeijn.nl/,,https://nl.linkedin.com/in/evertsemeijn,false
Mathijs Kok,mathijs-kok,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfef66bb04a9,Mon Aug 12 2019 15:48:15 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:27 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:22:27 GMT+0000 (Coordinated Universal Time),,,@askmathijs,https://www.mathijskok.com/,Entrepreneur and chief podcast,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7b287e3435d8a708202_5d518a00a4a3703a568e8f1c_mathijskok.jpeg,,https://twitter.com/askmathijs,https://nl.linkedin.com/in/mathijskok,false
